Date,Hour,Day_of_Week,Product_ID,Product,Current_Price,Competitor_Price,Demand,Inventory,Customer_Segment,Conversion_Rate,Promotion,Discount_Percent,Demand_Index,Revenue,Optimal_Price
2025-01-01,0,Wednesday,P1000,Headphones,1360,1273,81,720,Premium,0.047,0,0.0,0.162,110160,1319.2
2025-01-01,1,Wednesday,P1001,Camera,22462,24107,109,891,New_Visitor,0.166,0,0.0,0.218,2448358,22911.24
2025-01-01,2,Wednesday,P1002,Headphones,2933,2746,286,180,New_Visitor,0.157,0,0.0,0.572,838838,2933.0
2025-01-01,3,Wednesday,P1003,Laptop,41934,42872,179,495,New_Visitor,0.098,0,0.0,0.358,7506186,44030.7
2025-01-01,4,Wednesday,P1004,Camera,2399,2405,329,524,Price_Sensitive,0.216,0,0.0,0.658,789271,2614.91
2025-01-01,5,Wednesday,P1005,Laptop,15002,13541,98,335,Regular,0.204,0,0.0,0.196,1470196,15002.0
2025-01-01,6,Wednesday,P1006,Smartwatch,23983,22170,273,962,Price_Sensitive,0.228,0,0.0,0.546,6547359,23263.51
2025-01-01,7,Wednesday,P1007,Headphones,19957,19658,63,125,New_Visitor,0.054,1,23.25,0.126,1257291,19957.0
2025-01-01,8,Wednesday,P1008,Mobile,37565,40531,279,882,New_Visitor,0.088,0,0.0,0.558,10480635,38316.3
2025-01-01,9,Wednesday,P1009,Headphones,1516,1655,222,739,Premium,0.075,1,10.7,0.444,336552,1546.32
2025-01-01,10,Wednesday,P1010,Headphones,39599,39937,50,176,Price_Sensitive,0.05,0,0.0,0.1,1979950,41578.95
2025-01-01,11,Wednesday,P1011,Laptop,2527,2422,72,158,Price_Sensitive,0.18,1,23.14,0.144,181944,2527.0
2025-01-01,12,Wednesday,P1012,Smartwatch,4061,3946,50,47,Price_Sensitive,0.214,0,0.0,0.1,203050,4061.0
2025-01-01,13,Wednesday,P1013,Laptop,24099,23476,71,747,Premium,0.185,0,0.0,0.142,1711029,23376.03
2025-01-01,14,Wednesday,P1014,Camera,43030,42790,110,962,Regular,0.214,1,7.08,0.22,4733300,41739.1
2025-01-01,15,Wednesday,P1015,Camera,706,695,51,911,Premium,0.058,1,14.26,0.102,36006,684.82
